Dataset,Mode,GCN - With Backdoor - TCA,GCN - With Backdoor - ECA,GCN - With Backdoor - TBA,GCN - With Backdoor - EBA,GCN - Without Backdoor - TCA,GCN - Without Backdoor - ECA,GCN - Without Backdoor - TBA,GCN - Without Backdoor - EBA,GAT - With Backdoor - TCA,GAT - With Backdoor - ECA,GAT - With Backdoor - TBA,GAT - With Backdoor - EBA,GAT - Without Backdoor - TCA,GAT - Without Backdoor - ECA,GAT - Without Backdoor - TBA,GAT - Without Backdoor - EBA,SAGE - With Backdoor - TCA,SAGE - With Backdoor - ECA,SAGE - With Backdoor - TBA,SAGE - With Backdoor - EBA,SAGE - Without Backdoor - TCA,SAGE - Without Backdoor - ECA,SAGE - Without Backdoor - TBA,SAGE - Without Backdoor - EBA
Cora,Transductive,84.31,84.31,83.13,92.21,84.31,84.31,83.13,92.21,80.64,80.64,79.15,84.44,80.64,80.64,79.15,84.44,85.42,85.42,83.15,90.46,85.42,85.42,83.15,90.46
Cora,Inductive,69.49,69.49,66.06,71.76,69.49,69.49,66.06,71.76,68.14,68.14,63.84,71.85,68.14,68.14,63.84,71.85,67.4,67.4,61.15,71.61,67.4,67.4,61.15,71.61
Citeseer,Transductive,93.93,93.93,92.81,97.5,93.93,93.93,92.81,97.5,93.22,93.22,91.68,96.39,93.22,93.22,91.68,96.39,93.54,93.54,93.04,97.19,93.54,93.54,93.04,97.19
Citeseer,Inductive,80.85,80.85,78.33,87.92,80.85,80.85,78.33,87.92,79.67,79.67,78.48,87.16,79.67,79.67,78.48,87.16,79.83,79.83,78.07,86.14,79.83,79.83,78.07,86.14
Amazon,Transductive,93.77,93.77,91.32,93.79,93.77,93.77,91.32,93.79,92.51,92.51,90.32,90.91,92.51,92.51,90.32,90.91,96.3,96.3,92.07,93.3,96.3,96.3,92.07,93.3
Amazon,Inductive,90.33,90.33,87.89,91.32,90.33,90.33,87.89,91.32,83.62,83.62,79.48,83.46,83.62,83.62,79.48,83.46,92.42,92.42,87.65,90.01,92.42,92.42,87.65,90.01
DBLP,Transductive,81.45,81.45,80.66,88.75,81.45,81.45,80.66,88.75,81.57,81.57,79.52,83.78,81.57,81.57,79.52,83.78,83.45,83.45,81.03,85.51,83.45,83.45,81.03,85.51
DBLP,Inductive,70.09,70.09,70.39,82.56,70.09,70.09,70.39,82.56,73.34,73.34,71.39,81.13,73.34,73.34,71.39,81.13,74.07,74.07,71.96,82.7,74.07,74.07,71.96,82.7
Pubmed,Transductive,85.35,85.35,85.17,89.84,85.35,85.35,85.17,89.84,84.14,84.14,83.26,86.53,84.14,84.14,83.26,86.53,87.76,87.76,84.59,88.1,87.76,87.76,84.59,88.1
Pubmed,Inductive,82.29,82.29,81.88,90.56,82.29,82.29,81.88,90.56,83.91,83.91,82.68,89.91,83.91,83.91,82.68,89.91,85.33,85.33,84.06,92.01,85.33,85.33,84.06,92.01
