Dataset,Training,Setting 1 (%),Setting 2 (%),Setting 3 (%),Setting 4 (%)
Cora,Induc.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
Cora,Trans.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
CiteSeer,Induc.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
CiteSeer,Trans.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
Amazon,Induc.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
Amazon,Trans.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
DBLP,Induc.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
DBLP,Trans.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
PubMed,Induc.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
PubMed,Trans.,0.00±0.0,0.00±0.0,0.00±0.0,0.00±0.0
