Dataset,Model,Setting,Clean Accuracy,Surrogate Accuracy
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,91.634,91.634
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,93.333,93.333
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GAT,Random Mask,92.549,92.549
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,94.118,94.118
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,GCN,Random Mask,93.595,93.595
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.471,96.471
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,96.601,96.601
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Amazon,SAGE,Random Mask,95.948,95.948
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,92.671,92.671
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.381,93.381
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GAT,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,94.09,94.09
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,93.617,93.617
Citeseer,GCN,Random Mask,93.617,93.617
