Dataset,Setting,Mode,Ori. ACC,FPR,FNR,ACC
Cora,Setting 1,Inductive,69.48,0.0,0.0,1.0
Cora,Setting 2,Inductive,69.48,0.0,0.0,1.0
Cora,Setting 3,Inductive,69.48,0.0,0.0,1.0
Cora,Setting 4,Inductive,69.48,0.0,0.0,1.0
Cora,Setting 1,Transductive,80.15,0.0,0.0,1.0
Cora,Setting 2,Transductive,80.15,0.0,0.0,1.0
Cora,Setting 3,Transductive,80.15,0.0,0.0,1.0
Cora,Setting 4,Transductive,80.15,0.0,0.0,1.0
CiteSeer,Setting 1,Inductive,79.91,0.0,0.0,1.0
CiteSeer,Setting 2,Inductive,79.91,0.0,0.0,1.0
CiteSeer,Setting 3,Inductive,79.91,0.0,0.0,1.0
CiteSeer,Setting 4,Inductive,79.91,0.0,0.0,1.0
CiteSeer,Setting 1,Transductive,92.67,0.0,0.0,1.0
CiteSeer,Setting 2,Transductive,92.67,0.0,0.0,1.0
CiteSeer,Setting 3,Transductive,92.67,0.0,0.0,1.0
CiteSeer,Setting 4,Transductive,92.67,0.0,0.0,1.0
Amazon,Setting 1,Inductive,85.36,0.03,0.0,0.98
Amazon,Setting 2,Inductive,85.36,0.03,0.0,0.98
Amazon,Setting 3,Inductive,85.36,0.2,0.0,0.9
Amazon,Setting 4,Inductive,85.36,0.17,0.0,0.92
Amazon,Setting 1,Transductive,91.63,0.0,0.0,1.0
Amazon,Setting 2,Transductive,91.63,0.0,0.0,1.0
Amazon,Setting 3,Transductive,91.63,0.17,0.0,0.92
Amazon,Setting 4,Transductive,91.63,0.27,0.0,0.87
DBLP,Setting 1,Inductive,74.07,0.0,0.0,1.0
DBLP,Setting 2,Inductive,74.07,0.0,0.0,1.0
DBLP,Setting 3,Inductive,74.07,0.0,0.0,1.0
DBLP,Setting 4,Inductive,74.07,0.0,0.0,1.0
DBLP,Setting 1,Transductive,81.34,0.0,0.0,1.0
DBLP,Setting 2,Transductive,81.34,0.0,0.0,1.0
DBLP,Setting 3,Transductive,81.34,0.0,0.0,1.0
DBLP,Setting 4,Transductive,81.34,0.07,0.0,0.97
PubMed,Setting 1,Inductive,83.98,0.0,0.0,1.0
PubMed,Setting 2,Inductive,83.98,0.0,0.0,1.0
PubMed,Setting 3,Inductive,83.98,0.0,0.0,1.0
PubMed,Setting 4,Inductive,83.98,0.13,0.0,0.93
PubMed,Setting 1,Transductive,84.23,0.0,0.0,1.0
PubMed,Setting 2,Transductive,84.23,0.0,0.0,1.0
PubMed,Setting 3,Transductive,84.23,0.43,0.0,0.78
PubMed,Setting 4,Transductive,84.23,0.33,0.0,0.83
